algorithm,implementation,scale,nodes,edges,time_ms,memory_kb,result_hash,disk_files,disk_kb
DFS,reference,1,10,11,0.0048,32,05d841636630c407,N/A,N/A
DFS,reference,10,100,128,0.0030,0,6fb586e5e67781ae,N/A,N/A
DFS,reference,100,1000,1298,0.0176,16,cf6b627af12bbda5,N/A,N/A
DFS,reference,1000,10000,12998,0.1417,208,ee2d4c97fc40b6d1,N/A,N/A
DFS,reference,10000,100000,129998,1.7953,4848,70af8469a7a64fa0,N/A,N/A
DFS,reference,100000,1000000,1299998,20.0740,37280,1aa2c1c1eee7133b,N/A,N/A
DFS,motlie_db,1,10,11,1.8669,304,a5a1f4bb56d9eb2c,8,265.1923828125
DFS,motlie_db,10,100,128,2.5736,128,142535cfa2f40897,8,308.7412109375
DFS,motlie_db,100,1000,1298,21.0577,176,44c43d59172bd625,8,750.0478515625
DFS,motlie_db,1000,10000,12998,153.9111,368,f797b2958b7f4ee3,8,5255.37109375
DFS,motlie_db,10000,100000,129998,1597.7029,1840,bba2d78315512823,8,50879.9775390625
DFS,motlie_db,100000,1000000,1299998,17716.4773,75728,19b56977a3093b4d,21,642234.3876953125
BFS,reference,1,10,12,0.0061,0,a3a36acc19e41c48,N/A,N/A
BFS,reference,10,100,132,0.0089,0,4bcba989f639d438,N/A,N/A
BFS,reference,100,1000,1332,0.0361,32,a939757eafad6282,N/A,N/A
BFS,reference,1000,10000,13332,0.1792,224,91b475cf6bf27859,N/A,N/A
BFS,reference,10000,100000,133332,2.2445,4832,b454b90838e1b09e,N/A,N/A
BFS,reference,100000,1000000,1333332,28.7064,38288,62a9634c943e004b,N/A,N/A
BFS,motlie_db,1,10,12,0.3387,96,f412db519cbe812c,8,265.4248046875
BFS,motlie_db,10,100,132,2.1991,128,7532397394bc59c5,8,309.0859375
BFS,motlie_db,100,1000,1332,15.0820,288,977489cb55ec897e,8,755.7587890625
BFS,motlie_db,1000,10000,13332,152.4870,720,8a570a6057591da0,8,5345.5888671875
BFS,motlie_db,10000,100000,133332,1630.6244,3440,7015a97d68e9d32a,8,52122.9306640625
BFS,motlie_db,100000,1000000,1333332,18855.5285,175488,73b28e32fcbe0448,24,695149.728515625
Topological Sort,reference,1,10,11,0.0057,16,ecf88d1bd27e46c3,N/A,N/A
Topological Sort,reference,10,100,119,0.0236,144,ecd1be3bfdfe8d58,N/A,N/A
Topological Sort,reference,100,1000,1199,0.0469,176,b1d14cb9d3ab34e0,N/A,N/A
Topological Sort,reference,1000,10000,11999,0.2560,544,95560db0776d5837,N/A,N/A
Topological Sort,reference,10000,100000,119999,2.1798,4736,94885576f4ff0dce,N/A,N/A
Topological Sort,reference,100000,1000000,1199999,26.7423,59984,369b64c4534e05e1,N/A,N/A
Topological Sort,motlie_db,1,10,11,0.3775,224,d297fe52d81280db,8,265.357421875
Topological Sort,motlie_db,10,100,119,2.6299,160,3f667aa1eca29f52,8,307.7646484375
Topological Sort,motlie_db,100,1000,1199,23.6653,1056,c7323b8632a3d33d,8,740.4521484375
Topological Sort,motlie_db,1000,10000,11999,249.5965,2992,e26566ef230a1839,8,5110.37890625
Topological Sort,motlie_db,10000,100000,119999,2576.8910,6048,7556b929794cdc0c,8,49416.61328125
Topological Sort,motlie_db,100000,1000000,1199999,27299.4998,175280,0d2c896fc2ce175f,20,626284.2255859375
Dijkstra,reference,1,10,20,0.0083,96,a8a96f68511f8d14,N/A,N/A
Dijkstra,reference,10,100,218,0.0170,32,533ef71c9d6f7744,N/A,N/A
Dijkstra,reference,100,1000,2198,0.1310,240,37c7ca6df52b5993,N/A,N/A
Dijkstra,reference,1000,10000,21998,1.1381,1312,e05344b32c4f4bf9,N/A,N/A
Dijkstra,reference,10000,100000,219998,16.5247,6880,e763132c4d485da4,N/A,N/A
